"","modzcta","dif_case","dif_total","dif_per_positive","date","dif_death","dif_case_rate","dif_death_rate"
"1",10001,23,39,58.97,"04/03/2020",NA,NA,NA
"2",10001,10,17,58.82,"04/04/2020",NA,NA,NA
"3",10001,12,16,75,"04/05/2020",NA,NA,NA
"4",10001,12,27,44.44,"04/07/2020",NA,NA,NA
"5",10001,8,20,40,"04/08/2020",NA,NA,NA
"6",10001,13,24,54.17,"04/09/2020",NA,NA,NA
"7",10001,6,21,28.57,"04/10/2020",NA,NA,NA
"8",10001,4,6,66.67,"04/11/2020",NA,NA,NA
"9",10001,10,13,76.92,"04/12/2020",NA,NA,NA
"10",10001,10,14,71.43,"04/13/2020",NA,NA,NA
"11",10001,10,18,55.56,"04/14/2020",NA,NA,NA
"12",10001,7,22,31.82,"04/15/2020",NA,NA,NA
"13",10001,4,19,21.05,"04/16/2020",NA,NA,NA
"14",10001,9,24,37.5,"04/17/2020",NA,NA,NA
"15",10001,3,18,16.67,"04/18/2020",NA,NA,NA
"16",10001,6,8,75,"04/19/2020",NA,NA,NA
"17",10001,1,11,9.09,"04/20/2020",NA,NA,NA
"18",10001,5,18,27.78,"04/21/2020",NA,NA,NA
"19",10001,2,3,66.67,"04/22/2020",NA,NA,NA
"20",10001,9,33,27.27,"04/23/2020",NA,NA,NA
"21",10001,8,25,32,"04/24/2020",NA,NA,NA
"22",10001,3,24,12.5,"04/25/2020",NA,NA,NA
"23",10001,87,166,52.41,"04/26/2020",NA,NA,NA
"24",10001,-76,-114,66.67,"04/27/2020",NA,NA,NA
"25",10001,1,22,4.55,"04/28/2020",NA,NA,NA
"26",10001,1,34,2.94,"04/29/2020",NA,NA,NA
"27",10001,2,12,16.67,"04/30/2020",NA,NA,NA
"28",10001,1,21,4.76,"05/01/2020",NA,NA,NA
"29",10001,2,18,11.11,"05/02/2020",NA,NA,NA
"30",10001,3,17,17.65,"05/03/2020",NA,NA,NA
"31",10001,2,17,11.76,"05/04/2020",NA,NA,NA
"32",10001,3,34,8.82,"05/05/2020",NA,NA,NA
"33",10001,-1,32,-3.12,"05/06/2020",NA,NA,NA
"34",10001,0,32,0,"05/07/2020",NA,NA,NA
"35",10001,1,20,5,"05/08/2020",NA,NA,NA
"36",10001,0,51,0,"05/09/2020",NA,NA,NA
"37",10001,4,43,9.3,"05/10/2020",NA,NA,NA
"38",10001,2,32,6.25,"05/11/2020",NA,NA,NA
"39",10001,1,8,12.5,"05/12/2020",NA,NA,NA
"40",10001,0,46,0,"05/13/2020",NA,NA,NA
"41",10001,2,35,5.71,"05/14/2020",NA,NA,NA
"42",10001,4,54,7.41,"05/15/2020",NA,NA,NA
"43",10001,2,49,4.08,"05/16/2020",NA,NA,NA
"44",10001,5,42,11.9,"05/17/2020",NA,NA,NA
"45",10001,1,25,4,"05/18/2020",NA,NA,NA
"46",10001,1,1,100,"05/19/2020",0,4.24000000000001,0
"47",10001,1,0,Inf,"05/20/2020",0,4.25,0
"48",10001,1,0,Inf,"05/21/2020",0,4.24000000000001,0
