"","modzcta","E_AGE17","E_AGE65","E_CROWD","E_DISABL","E_GROUPQ","E_HH","E_HU","E_LIMENG","E_MINRTY","E_MOBILE","E_MUNIT","E_NOHSDP","E_NOVEH","E_POV","E_SNGPNT","E_UNEMP","E_UNINSUR","M_AGE17","M_AGE65","M_CROWD","M_DISABL","M_GROUPQ","M_HH","M_HU","M_LIMENG","M_MINRTY","M_MOBILE","M_MUNIT","M_NOHSDP","M_NOVEH","M_POV","M_SNGPNT","M_UNEMP","M_UNINSUR","EP_PCI","MP_PCI","EPL_PCI","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4","RPL_THEMES","F_AGE17","F_AGE65","F_CROWD","F_DISABL","F_GROUPQ","F_LIMENG","F_MINRTY","F_MOBILE","F_MUNIT","F_NOHSDP","F_NOVEH","F_PCI","F_POV","F_SNGPNT","F_THEME1","F_THEME2","F_THEME3","F_THEME4","F_TOTAL","F_UNEMP","tl_pop"
"1","06390",0.115513928914505,0.40297790585975,0.00408261287223823,0.162824207492795,0.0341018251681076,0.45821325648415,1.05331412103746,0.042747358309318,0.153938520653218,0.00408261287223823,0.0451488952929875,0.0621998078770413,0.0276176753121998,0.0569164265129683,0.0216138328530259,0.0196926032660903,0.0513928914505283,0.269021739130435,0.513586956521739,0.0570652173913043,0.472826086956522,0.157608695652174,0.445652173913043,0.375,0.366847826086957,1.32608695652174,0.046195652173913,0.192934782608696,0.361413043478261,0.122282608695652,0.380434782608696,0.127717391304348,0.125,0.353260869565217,55337,6265,0.109,0.2207,0.6249,0.4285,0.6177,0.4309,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0",4164
"2","10001",0.0803583831087651,0.132981432606381,0.0206510163448627,0.0817011621984535,0.0284530258832245,0.570056026299949,0.651780339862018,0.0528314117701533,0.421401120525999,0.000740843635690142,0.607514932629532,0.0534796499513821,0.465458165485947,0.123952400796407,0.0154651108950317,0.0293327777006066,0.040468583599574,0.329104288251713,0.370718091854859,0.176604922608475,0.368688150215681,0.104288251712763,0.471453945699061,0.282415630550622,0.380614057345851,1.30829738645014,0.0459274295863994,0.494544531844709,0.336209083988835,0.550367926922101,0.569398629789394,0.166455214412586,0.216442527277341,0.287236741943669,101810.644742325,18377.9228622177,0.0392377135713293,0.25435526230495,0.113612397555216,0.564397413992684,0.825263149974534,0.367187998333102,"0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0",43194
"3","10002",0.138048162230672,0.210861850443599,0.0364638783269962,0.152851711026616,0.0226489226869455,0.446489226869455,0.475082382762991,0.280583016476553,0.790304182509506,0.000316856780735108,0.431432192648923,0.267921419518378,0.370570342205323,0.284347275031686,0.0335234474017744,0.03297845373891,0.058871989860583,0.437171717171717,0.416969696969697,0.192457912457912,0.433804713804714,0.12013468013468,0.263569023569024,0.178047138047138,0.644444444444444,1.13265993265993,0.0315151515151515,0.362424242424242,0.577373737373737,0.343703703703704,0.769023569023569,0.175353535353535,0.201885521885522,0.324040404040404,31743.7099619772,5049.24444444444,0.568884032953105,0.755735456273764,0.531484803548796,0.878760569074778,0.895757960709759,0.831856256020279,"0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1",78900
"4","10003",0.0688987945935874,0.118921010764093,0.0187045822643294,0.0683254740644126,0.158465794263928,0.489673063968238,0.57737677191876,0.0142613481632244,0.285814616806891,0,0.496810904556465,0.027261391162264,0.384497412891112,0.0749186601499233,0.00870013903022832,0.0331092605598475,0.0424973842250856,0.266142969363708,0.391201885310291,0.152395915161037,0.358837391987431,0.343126472898665,0.419167321288295,0.226708562450903,0.190887666928515,1.35836606441477,0.0307934014139827,0.488452474469756,0.209897879025923,0.473998428908091,0.399371563236449,0.101335428122545,0.19528672427337,0.283582089552239,91526.8405165618,14927.4999214454,0.0457170634522496,0.190297146297066,0.0321355516060141,0.369303907179406,0.906555437228569,0.276971569034958,"0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0",69769
"5","10004",0.139753429624705,0.042333957817127,0.0463225962410105,0.0245361696984348,0.017525835498882,0.48135613706412,0.592675409439778,0.00900465341149453,0.319604762192542,0.000755423943917326,0.579047561491509,0.0123587357224875,0.39282045083701,0.0642110352329727,0.0135976309905119,0.0240526983743277,0.0359581797304647,0.437991757212439,0.203072311727239,0.270887973023604,0.185837392281753,0.0828025477707006,0.457100037467216,0.233420756837767,0.204196328212814,1.32708879730236,0.0494567253653054,0.288497564630948,0.147246159610341,0.50917946796553,0.32259273136006,0.150618209067066,0.203446983889097,0.26489321843387,106384.017586269,12683.0794304983,0.0225469843476159,0.0686227745210612,0.0184472079531033,0.351384317398924,0.848072230615822,0.168741342841603,"-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999",33094
"6","10005",0.109281923535146,0.0242608036391205,0.049225603812412,0.0197660565363371,0.0314090761399329,0.464421098234593,0.579659915520416,0.00622766164843496,0.309271092819235,0.00135383948879021,0.562330770063901,0.0153796165926568,0.391313765839922,0.0868081880212282,0.012726091194628,0.0268601754575977,0.0367161269359905,0.387405886379192,0.177960301163587,0.266255989048597,0.154004106776181,0.106776180698152,0.45927446954141,0.238193018480493,0.146475017111567,1.37577002053388,0.0458590006844627,0.295687885010267,0.170431211498973,0.490075290896646,0.383299110198494,0.145790554414784,0.222450376454483,0.233401779603012,100213.921856385,11720.7727583847,0.0265583775587566,0.108189537528431,0.0095114372360013,0.311161480558865,0.934398229177949,0.218494952886386,"0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0",18466
"7","10006",0.11705108859668,0.014227204138823,0.0523819788747575,0.0163828411295538,0,0.546238413451175,0.698426384996767,0.017029532226773,0.386074585039879,0,0.674067687001509,0.00344901918516922,0.451605949558094,0.0381547747359345,0.0144427678378961,0.0181073507221384,0.0334123733563268,0.35781990521327,0.139810426540284,0.291469194312796,0.175355450236967,0.028436018957346,0.502369668246445,0.21563981042654,0.201421800947867,1.24881516587678,0.028436018957346,0.33175355450237,0.0616113744075829,0.592417061611374,0.232227488151659,0.123222748815166,0.149289099526066,0.267772511848341,112263,14182,0.0196,0.0085,0.0089,0.4544,0.7561,0.0722,"0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0",4639
"8","10007",0.1684127609295,0.101378495470658,0.0411185506104766,0.0421819614021268,0.109334383615597,0.417959826703427,0.502048050413549,0.120677432059866,0.444387554155179,0,0.430011815675463,0.115478534856243,0.321622686096889,0.0763292634895628,0.0106734935013785,0.0234738085860575,0.0284363922804254,0.417853020392459,0.296652558676414,0.190842631781454,0.192381685263563,0.275875336667949,0.35205848403232,0.172373989996152,0.359753751442863,1.29549826856483,0.0288572527895344,0.343593689880723,0.299345902270104,0.371681415929204,0.32397075798384,0.0919584455559831,0.151981531358215,0.185840707964602,118246.125206774,19798.8607156599,0.203034048838125,0.294135982670343,0.141291882630957,0.548496573454116,0.85282539188657,0.379718806616778,"0","1","1","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","0",25390
"9","10009",0.112502769115417,0.151781606257349,0.0223403711466694,0.124465347715693,0.0101221818925413,0.511596203329755,0.538264914881652,0.0705826218836801,0.494163556737045,0.00028969207436566,0.485489835216332,0.091406369817494,0.416713528619873,0.23408823679771,0.0300427721827446,0.0231924066595096,0.055501593306409,0.456852791878173,0.389593908629442,0.188663282571912,0.441835871404399,0.0873519458544839,0.319373942470389,0.21510152284264,0.391285956006768,1.26903553299492,0.0334179357021997,0.514805414551607,0.427030456852792,0.475042301184433,0.828891708967851,0.210448392554992,0.205160744500846,0.388959390862944,51174.3833137365,7520.57868020305,0.257500724230186,0.416673116575499,0.284556982431028,0.588800339110134,0.763440539849701,0.502915266772319,"0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0",58683
"10","10010",0.100654198961815,0.148883595249947,0.0196437460001422,0.0767617151390173,0.0860236080494916,0.519003768754889,0.595303278105667,0.0335276967930029,0.331241555855792,0.000106662874208917,0.545473938704402,0.0385586290265235,0.400767972694304,0.113542629595392,0.00714641257199744,0.0286212045793927,0.0286745360164972,0.375166666666667,0.3305,0.147333333333333,0.312,0.27,0.3725,0.202166666666667,0.218333333333333,1.36333333333333,0.0245,0.363166666666667,0.215833333333333,0.430166666666667,0.385833333333333,0.076,0.167166666666667,0.192666666666667,99834.5074130698,14417.2446666667,0.044727241698073,0.217683428144777,0.0956519021545901,0.447053772310318,0.866822166322975,0.336637899096921,"0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0",56252
